 Seconds,Date_Time,CO2ppm,WVppt,RefBP,TC1,TC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
13,62582.48,1.2214,8.3184,102.5447,23.7014,27.9534,2.5048,19.96,19.8,0,23.46,10.99,7.73,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93341,-1.79E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,62582.48,1.2126,8.2598,102.5411,23.7077,27.9512,2.5052,19.95,19.81,0,23.46,10.99,7.68,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90441,-1.49E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,62582.48,1.2055,8.2188,102.5412,23.7095,27.9479,2.5047,19.93,19.8,0,23.46,10.99,7.64,102.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78002,2.71E-08,5.37E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,62582.48,1.2078,8.1629,102.5406,23.714,27.9545,2.5039,19.98,19.85,0,23.46,10.99,7.81,102.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.58284,3.24E-07,6.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,62582.48,1.2059,8.1232,102.5449,23.711,27.9529,2.5045,20.13,19.76,1,23.46,10.99,7.73,102.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33592,7.30E-07,1.41E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,62582.48,1.2027,8.0718,102.5447,23.7222,27.954,2.5037,20.77,19.54,1,23.46,10.99,7.75,102.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08537,1.09E-06,2.09E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,62582.48,1.1855,8.0184,102.5462,23.7261,27.9537,2.5036,20.43,18.75,1,23.46,10.99,7.68,102.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.80619,1.52E-06,2.86E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,62582.48,1.1189,7.9695,102.5507,23.7353,27.9482,2.5034,19.91,17.99,1,23.46,10.99,7.69,102.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52605,1.96E-06,3.63E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,62582.48,1.0901,7.9187,102.5528,23.7417,27.9531,2.5028,19.72,17.8,1,23.46,10.99,8.15,102.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.28074,2.38E-06,4.36E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,62582.48,1.144,7.8823,102.5539,23.7456,27.9547,2.504,19.92,17.92,1,23.46,10.99,7.9,102.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07666,2.75E-06,4.98E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
