 Seconds,Date_Time,CO2ppm,WVppt,RefBP,TC1,TC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
940,62582.49,5.7666,24.923,102.5307,25.2471,28.4621,2.5036,19.91,16.7,8,25.27,10.72,8.25,102.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75463,5.57E-06,9.34E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34E-05,0,0,0,0,0,0,0,0
941,62582.49,5.7654,24.923,102.5342,25.2518,28.4609,2.5038,20,16.74,8,25.27,10.72,7.73,102.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76622,5.58E-06,9.36E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36E-05,0,0,0,0,0,0,0,0
942,62582.49,5.7608,24.9212,102.5347,25.2545,28.4624,2.504,20.11,16.86,8,25.27,10.72,7.68,102.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76961,5.59E-06,9.37E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37E-05,0,0,0,0,0,0,0,0
943,62582.49,5.7765,24.9202,102.5401,25.2476,28.4619,2.5036,19.98,16.76,8,25.27,10.72,7.64,102.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77221,5.58E-06,9.36E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36E-05,0,0,0,0,0,0,0,0
944,62582.49,5.7621,24.9217,102.5394,25.251,28.4676,2.5032,19.99,16.8,8,25.27,10.72,7.68,102.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77999,5.57E-06,9.35E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35E-05,0,0,0,0,0,0,0,0
945,62582.49,5.7672,24.9239,102.5377,25.2474,28.4686,2.503,20.07,16.82,8,25.27,10.72,8.12,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78059,5.56E-06,9.32E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32E-05,0,0,0,0,0,0,0,0
946,62582.49,5.7815,24.9228,102.5357,25.2516,28.4684,2.5036,20.1,16.82,8,25.27,10.72,7.69,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7728,5.56E-06,9.33E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33E-05,0,0,0,0,0,0,0,0
947,62582.49,5.7787,24.9246,102.5337,25.2544,28.4641,2.5039,19.98,16.72,8,25.27,10.72,8.39,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76092,5.57E-06,9.33E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33E-05,0,0,0,0,0,0,0,0
948,62582.49,5.7788,24.9204,102.5351,25.2462,28.4664,2.5039,19.95,16.69,8,25.27,10.72,7.68,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75045,5.55E-06,9.29E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29E-05,0,0,0,0,0,0,0,0
949,62582.49,5.7845,24.9206,102.536,25.2468,28.4743,2.5039,20,16.74,8,25.27,10.72,8.43,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74599,5.53E-06,9.26E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26E-05,0,0,0,0,0,0,0,0
950,62582.49,5.7872,24.9237,102.5393,25.2501,28.4839,2.5039,20.04,16.74,8,25.27,10.72,7.62,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74192,5.51E-06,9.22E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22E-05,0,0,0,0,0,0,0,0
951,62582.49,5.7878,24.9255,102.5385,25.2525,28.484,2.5027,19.92,16.69,8,25.27,10.72,7.68,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72711,5.53E-06,9.25E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25E-05,0,0,0,0,0,0,0,0
952,62582.49,5.7976,24.9228,102.5375,25.2522,28.4823,2.5026,20,16.77,8,25.27,10.72,7.66,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72252,5.55E-06,9.27E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27E-05,0,0,0,0,0,0,0,0
953,62582.49,5.8057,24.9211,102.5392,25.2476,28.4786,2.5029,20.05,16.77,8,25.27,10.72,7.68,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.73124,5.55E-06,9.28E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28E-05,0,0,0,0,0,0,0,0
954,62582.49,5.8044,24.9192,102.5377,25.2498,28.4721,2.5034,20.02,16.79,8,25.27,10.72,7.68,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74425,5.55E-06,9.29E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29E-05,0,0,0,0,0,0,0,0
955,62582.49,5.8046,24.9213,102.5349,25.2506,28.478,2.503,20.05,16.74,8,25.27,10.72,7.73,102.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75993,5.55E-06,9.30E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30E-05,0,0,0,0,0,0,0,0
956,62582.49,5.812,24.9246,102.5321,25.2502,28.4902,2.5017,19.94,16.65,8,25.27,10.72,7.71,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76602,5.56E-06,9.33E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33E-05,0,0,0,0,0,0,0,0
957,62582.49,5.8209,24.9239,102.5314,25.2535,28.4928,2.5023,19.99,16.76,8,25.27,10.72,7.68,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7871,5.60E-06,9.40E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0
958,62582.49,5.835,24.9237,102.5322,25.2521,28.4915,2.503,20.08,16.83,8,25.27,10.72,7.69,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79366,5.62E-06,9.43E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43E-05,0,0,0,0,0,0,0,0
959,62582.49,5.8431,24.9216,102.5291,25.2562,28.4895,2.5042,20.03,16.84,8,25.27,10.72,7.62,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79217,5.59E-06,9.38E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38E-05,0,0,0,0,0,0,0,0
960,62582.49,5.8414,24.9188,102.5335,25.2569,28.4842,2.5041,19.97,16.81,8,25.27,10.72,7.68,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79703,5.59E-06,9.39E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39E-05,0,0,0,0,0,0,0,0
961,62582.49,5.8509,24.9272,102.5341,25.257,28.4835,2.5025,20.03,16.86,8,25.27,10.72,7.71,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80253,5.61E-06,9.43E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43E-05,0,0,0,0,0,0,0,0
962,62582.49,5.8457,24.9268,102.532,25.2591,28.478,2.5024,20.01,16.78,8,25.27,10.72,8.12,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80242,5.62E-06,9.44E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44E-05,0,0,0,0,0,0,0,0
963,62582.49,5.8491,24.9255,102.533,25.2639,28.4745,2.5041,20.07,16.83,8,25.27,10.72,7.62,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80662,5.61E-06,9.43E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43E-05,0,0,0,0,0,0,0,0
964,62582.49,5.8472,24.9229,102.536,25.2597,28.4805,2.5032,19.94,16.69,8,25.27,10.73,7.68,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79214,5.60E-06,9.40E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0
965,62582.49,5.8489,24.9195,102.5319,25.2601,28.482,2.5023,20.04,16.79,8,25.27,10.73,7.68,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78642,5.62E-06,9.43E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43E-05,0,0,0,0,0,0,0,0
966,62582.49,5.8489,24.9195,102.5319,25.2601,28.482,2.5023,20.04,16.79,8,25.27,10.73,7.68,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78129,5.60E-06,9.40E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0
967,62582.49,5.8529,24.9213,102.5374,25.2615,28.4907,2.5036,19.99,16.78,8,25.27,10.73,8.47,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78092,5.56E-06,9.32E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32E-05,0,0,0,0,0,0,0,0
968,62582.49,5.874,24.926,102.5356,25.2593,28.488,2.5033,19.97,16.76,8,25.27,10.73,8.24,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77608,5.56E-06,9.32E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32E-05,0,0,0,0,0,0,0,0
969,62582.49,5.8553,24.9228,102.5357,25.26,28.4848,2.5037,20.04,16.85,8,25.27,10.73,7.68,102.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76824,5.58E-06,9.35E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35E-05,0,0,0,0,0,0,0,0
970,62582.49,5.8561,24.9244,102.5333,25.2606,28.497,2.5036,20.02,16.76,8,25.27,10.73,7.71,102.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.70605,5.57E-06,9.31E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31E-05,0,0,0,0,0,0,0,0
971,62582.49,5.8507,24.9263,102.5359,25.2604,28.4939,2.503,20,16.78,8,25.27,10.73,7.68,102.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.60748,5.57E-06,9.25E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25E-05,0,0,0,0,0,0,0,0
972,62582.49,5.8635,24.9237,102.5376,25.2573,28.4914,2.5026,19.97,16.72,8,25.34,10.73,7.76,102.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56783,5.57E-06,9.24E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24E-05,0,0,0,0,0,0,0,0
973,62582.49,5.8764,24.9249,102.5409,25.262,28.5014,2.5033,20.06,16.75,8,25.34,10.73,7.68,102.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66386,5.56E-06,9.27E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27E-05,0,0,0,0,0,0,0,0
974,62582.49,5.8671,24.9269,102.5373,25.2611,28.5093,2.5034,20.06,16.71,8,25.34,10.73,7.73,102.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.87786,5.61E-06,9.48E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48E-05,0,0,0,0,0,0,0,0
975,62582.49,5.871,24.9245,102.5381,25.2615,28.5116,2.5037,19.91,16.71,8,25.34,10.73,7.76,102.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16606,5.72E-06,9.82E-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82E-05,0,0,0,0,0,0,0,0
976,62582.49,5.8803,24.924,102.5395,25.27,28.5131,2.5037,20.01,16.83,8,25.34,10.73,7.68,102.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53945,5.80E-06,1.02E-04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-04,0,0,0,0,0,0,0,0
977,62582.49,5.887,24.921,102.5407,25.2615,28.5152,2.5047,20.04,17.59,9,25.34,10.73,7.76,102.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.97322,5.83E-06,1.05E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05E-04,0,0,0,0,0,0,0
978,62582.49,5.8995,24.9205,102.5446,25.2622,28.5001,2.5038,20.11,18.9,9,25.34,10.73,7.68,102.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4208,5.84E-06,1.08E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-04,0,0,0,0,0,0,0
979,62582.49,5.8969,24.9218,102.5411,25.2659,28.503,2.5033,20.11,19.53,9,25.34,10.73,8.46,102.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8762,5.83E-06,1.10E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-04,0,0,0,0,0,0,0
980,62582.49,5.8774,24.921,102.5373,25.2671,28.5114,2.5036,19.96,19.65,9,25.34,10.73,7.71,102.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29613,5.79E-06,1.12E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-04,0,0,0,0,0,0,0
981,62582.49,5.8777,24.9199,102.5424,25.2658,28.5091,2.5034,19.9,19.67,9,25.34,10.73,8.08,102.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64078,5.74E-06,1.13E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E-04,0,0,0,0,0,0,0
982,62582.49,5.8973,24.922,102.538,25.2675,28.5167,2.5032,20.08,19.94,9,25.34,10.73,8.42,102.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8909,5.70E-06,1.13E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13E-04,0,0,0,0,0,0,0
983,62582.49,5.9096,24.9228,102.5404,25.2667,28.5246,2.5033,20.04,19.88,9,25.34,10.73,7.85,102.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.01785,5.61E-06,1.12E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-04,0,0,0,0,0,0,0
984,62582.49,5.9053,24.9245,102.5423,25.2627,28.5265,2.5032,20.02,19.91,9,25.34,10.73,7.68,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02316,5.46E-06,1.09E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09E-04,0,0,0,0,0,0,0
985,62582.49,5.8942,24.9233,102.5424,25.2654,28.5234,2.5033,20.08,19.97,9,25.34,10.73,8.46,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95361,5.35E-06,1.07E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-04,0,0,0,0,0,0,0
986,62582.49,5.8973,24.9255,102.544,25.2653,28.5205,2.5033,19.98,19.89,9,25.34,10.73,7.68,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93118,5.29E-06,1.05E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05E-04,0,0,0,0,0,0,0
987,62582.49,5.8926,24.9229,102.5477,25.2705,28.5169,2.5029,19.91,19.81,9,25.34,10.73,7.85,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.94466,5.21E-06,1.04E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-04,0,0,0,0,0,0,0
988,62582.49,5.8863,24.9236,102.5492,25.2741,28.5198,2.5029,20.02,19.94,9,25.34,10.73,8.46,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93958,5.17E-06,1.03E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E-04,0,0,0,0,0,0,0
989,62582.49,5.8999,24.9241,102.5512,25.2729,28.5251,2.5031,20.01,19.95,9,25.34,10.73,7.62,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92609,5.13E-06,1.02E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-04,0,0,0,0,0,0,0
990,62582.49,5.9071,24.9264,102.5497,25.2751,28.5241,2.5042,20.09,20,9,25.34,10.73,7.62,102.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9392,5.06E-06,1.01E-04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01E-04,0,0,0,0,0,0,0
991,62582.49,5.9029,24.9263,102.5503,25.2713,28.5262,2.5034,19.99,19.89,9,25.34,10.73,7.69,102.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93838,5.00E-06,9.97E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97E-05,0,0,0,0,0,0,0
992,62582.49,5.9012,24.9274,102.543,25.2716,28.5298,2.5033,20.03,19.99,9,25.35,10.73,8.43,102.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.94654,4.96E-06,9.90E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90E-05,0,0,0,0,0,0,0
993,62582.49,5.9347,24.9263,102.5392,25.2709,28.532,2.5022,20.02,19.96,9,25.35,10.73,7.68,102.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95244,4.93E-06,9.84E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84E-05,0,0,0,0,0,0,0
994,62582.49,5.952,24.9246,102.5402,25.2724,28.5305,2.5023,19.92,19.85,9,25.35,10.73,8.46,102.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92834,4.87E-06,9.70E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70E-05,0,0,0,0,0,0,0
995,62582.49,5.9677,24.9267,102.5422,25.2703,28.5309,2.503,20.08,19.97,9,25.35,10.73,7.62,102.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90322,4.85E-06,9.64E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64E-05,0,0,0,0,0,0,0
996,62582.49,5.9896,24.9285,102.5382,25.2679,28.5322,2.5036,20.09,19.94,9,25.35,10.73,7.8,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88783,4.83E-06,9.61E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61E-05,0,0,0,0,0,0,0
997,62582.49,5.985,24.926,102.537,25.2683,28.5248,2.5032,20,19.86,9,25.35,10.73,7.66,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88752,4.76E-06,9.47E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47E-05,0,0,0,0,0,0,0
998,62582.49,5.9742,24.9245,102.5418,25.2705,28.5321,2.5037,20.03,19.9,9,25.35,10.73,8.47,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89019,4.69E-06,9.33E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33E-05,0,0,0,0,0,0,0
999,62582.49,5.9578,24.9263,102.5394,25.2667,28.5349,2.5039,19.85,19.77,9,25.35,10.73,7.66,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87838,4.65E-06,9.25E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25E-05,0,0,0,0,0,0,0
1000,62582.49,5.9491,24.9294,102.5384,25.2715,28.5395,2.5031,19.9,19.78,9,25.35,10.73,8.43,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87712,4.64E-06,9.23E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23E-05,0,0,0,0,0,0,0
1001,62582.49,5.9294,24.9281,102.5397,25.2741,28.5373,2.5036,20.08,20,9,25.35,10.73,7.76,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87858,4.60E-06,9.14E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14E-05,0,0,0,0,0,0,0
1002,62582.49,5.914,24.9229,102.5368,25.2723,28.5389,2.5035,19.96,19.93,9,25.35,10.73,7.69,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86976,4.53E-06,8.99E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99E-05,0,0,0,0,0,0,0
1003,62582.49,5.892,24.9265,102.5361,25.2686,28.5379,2.5022,20.01,19.96,9,25.35,10.73,7.75,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89283,4.49E-06,8.93E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93E-05,0,0,0,0,0,0,0
1004,62582.49,5.8592,24.9244,102.5361,25.2728,28.5368,2.5032,19.94,19.83,9,25.35,10.73,8.39,102.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90554,4.45E-06,8.86E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86E-05,0,0,0,0,0,0,0
1005,62582.49,5.8296,24.9202,102.5359,25.2685,28.5402,2.5032,20,19.85,9,25.35,10.73,7.64,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90369,4.42E-06,8.80E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80E-05,0,0,0,0,0,0,0
1006,62582.49,5.8007,24.9241,102.5375,25.2676,28.5423,2.504,20,19.89,9,25.35,10.73,7.64,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90601,4.42E-06,8.79E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79E-05,0,0,0,0,0,0,0
1007,62582.49,5.7873,24.9244,102.537,25.2708,28.5408,2.5041,20.06,19.92,9,25.35,10.73,8.09,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90566,4.40E-06,8.75E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75E-05,0,0,0,0,0,0,0
1008,62582.49,5.7467,24.9264,102.5357,25.2721,28.5408,2.5036,20.02,19.94,9,25.35,10.73,7.64,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89729,4.38E-06,8.71E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71E-05,0,0,0,0,0,0,0
1009,62582.49,5.7157,24.9262,102.539,25.2722,28.5433,2.5049,20.07,19.98,9,25.35,10.73,7.82,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90416,4.39E-06,8.73E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73E-05,0,0,0,0,0,0,0
1010,62582.49,5.6793,24.9258,102.5356,25.2717,28.5534,2.5036,19.91,19.79,9,25.35,10.73,7.68,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8977,4.40E-06,8.75E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75E-05,0,0,0,0,0,0,0
1011,62582.49,5.6479,24.9258,102.5335,25.2723,28.5451,2.5028,20.01,19.86,9,25.35,10.73,7.83,102.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90388,4.37E-06,8.69E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69E-05,0,0,0,0,0,0,0
1012,62582.49,5.6156,24.9246,102.5364,25.2746,28.5438,2.5026,20,19.94,9,25.35,10.73,7.64,102.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89316,4.38E-06,8.71E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71E-05,0,0,0,0,0,0,0
1013,62582.49,5.5892,24.9213,102.5406,25.2718,28.5353,2.5029,20.06,19.98,9,25.35,10.73,8.37,102.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88118,4.40E-06,8.75E-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75E-05,0,0,0,0,0,0,0
